Região - Sigla;Estado - Sigla;Município;Revenda;CNPJ da Revenda;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;DIESEL;16/01/2019;3.799;32.166;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;DIESEL;23/01/2019;3.799;;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;DIESEL S10;16/01/2019;3.899;32.638;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;DIESEL S10;23/01/2019;3.899;;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;ETANOL;16/01/2019;3.299;29.999;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;ETANOL;23/01/2019;3.299;29.999;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;GASOLINA;16/01/2019;4.299;36.745;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;GASOLINA;23/01/2019;4.299;36.745;R$ / litro;RAIZEN
NE;BA;SIMOES FILHO;POSTO GAMELEIRA SIMÕES FILHO LTDA;1,07E+13;DIESEL;02/01/2019;3.499;2.957;R$ / litro;PETROBAHIA
NE;BA;SIMOES FILHO;POSTO GAMELEIRA SIMÕES FILHO LTDA;1,07E+13;DIESEL;02/04/2019;3.499;3.17;R$ / litro;PETROBAHIA
NE;BA;SIMOES FILHO;POSTO GAMELEIRA SIMÕES FILHO LTDA;1,07E+13;DIESEL;05/03/2019;3.499;;R$ / litro;PETROBAHIA
